CompanyId	Name	Address	City	State	Country	Phone	Doc	TypeDoc	Admin	Image	Coors
1	Speal SAS	Calle 17 #33 40	1	1	1	901021788	901021788	NIT	1	https://picsum.photos/seed/picsum/500/500	4.1346599716098105, -73.62683963067992
2	Empresa 1	Calle 17 #33 40	1	1	1	111111111	111111111	NIT	0	https://picsum.photos/seed/picsum/500/501	4.1346599716098105, -73.62683963067993
3	Empresa 2	Calle 17 #33 40	1	1	1	222222222	222222222	NIT	0	https://picsum.photos/seed/picsum/500/502	4.1346599716098105, -73.62683963067994
4	Empresa 3	Calle 17 #33 40	1	1	1	333333333	333333333	NIT	0	https://picsum.photos/seed/picsum/500/503	4.1346599716098105, -73.62683963067995
5	Empresa 4	Calle 17 #33 40	1	1	1	444444444	444444444	NIT	0	https://picsum.photos/seed/picsum/500/504	4.1346599716098105, -73.62683963067996
6	Empresa 5	Calle 17 #33 40	1	1	1	555555555	555555555	NIT	0	https://picsum.photos/seed/picsum/500/505	4.1346599716098105, -73.62683963067997
7	Empresa 6	Calle 17 #33 40	1	1	1	666666666	666666666	NIT	0	https://picsum.photos/seed/picsum/500/506	4.1346599716098105, -73.62683963067998
8	Empresa 7	Calle 17 #33 40	1	1	1	777777777	777777777	NIT	0	https://picsum.photos/seed/picsum/500/507	4.1346599716098105, -73.62683963067999
9	Empresa 8	Calle 17 #33 40	1	1	1	888888888	888888888	NIT	0	https://picsum.photos/seed/picsum/500/508	4.1346599716098105, -73.62683963068000
10	Empresa 9	Calle 17 #33 40	1	1	1	999999999	999999999	NIT	0	https://picsum.photos/seed/picsum/500/509	4.1346599716098105, -73.62683963068001
11	Empresa 10	Calle 17 #33 40	1	1	1	0	0	NIT	0	https://picsum.photos/seed/picsum/500/510	4.1346599716098105, -73.62683963068002